COMPONENTE,PROGRAMA,"CODIGO
CUPS ACTUALES ","CODIGO
CUPS NUEVOS ",ACTIVIDAD,FINALIDAD,DIAGNOSTICOS ,DESCRIPCIÓN FRECUENCIA,POBLACIÓN GRUPO ETAREO
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,890201,890201,CONSULTA POR MEDICINA GENERAL,11,Z108,60 AÑOS EN ADELANTE - 1 CADA 3 AÑOS,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,890203,890203,CONSULTA POR ODONTOLOGIA GENERAL ,11,Z108,60 AÑOS EN ADELANTE - 1 CADA 2 AÑOS,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,907106,907106,UROANALISIS,12,Z108,1 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 60 AÑOS,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,903895,903895,"CREATININA EN SUERO, ORINA U OTROS",13,Z108,,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,903841,903841,"GLUCOSA EN SUERO, LCR U OTROS FLUIDOS",14,Z108,,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,903815,903815,COLESTEROL DE ALTA DENSIDAD - HDL,15,Z108,,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,903816,903816,COLESTEROL DE BAJA DENSIDAD ENZIMATICO – LDL,16,Z108,,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,903818,903818,COLESTEROL TOTAL,17,Z108,,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,903868,903868,TRIGLICERIDOS,18,Z108,,MAYORES 60 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,990204,"990201,990203,990204",EDUCACION INDIVIDUAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL VEJEZ,9901,"990101,990103,990104",EDUCACION FAMILIAR - GRUPAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,AGUDEZA VISUAL,950601,950601,AGUDEZA VISUAL,12,Z010,3 AÑOS EN ADELANTE 1 CONSULTA EN CADA AÑO POR OPTOMETRIA O MEDICO GENERAL ,MAYORES 3 AÑOS
DETECCION TEMPRANA,CANCER DEL CUELLO UTERINO,892901,892901,TOMA DE CITOLOGIA CERVICO UTERINA,12,Z124,"MUJERES ENTRE 25 A 29 AÑOS ESQUEMA 1,3,3 SEGUN REPORTE BETHESDA 2014
",25 a 29años
DETECCION TEMPRANA,CANCER DEL CUELLO UTERINO,892901,892901,TOMA DE CITOLOGIA CERVICO UTERINA,12,,"MUJERES ENTRE 30 a 69 AÑOS ESQUEMA 1,1,3 SEGUN REPORTE BETHESDA 2014
",30 A 69 años
DETECCION TEMPRANA,CANCER DEL CUELLO UTERINO,892900,898015,LECTURA DE CITOLOGIAS,12,"Z124 PARA CICTOLOGIA NORMAL, R876 HALLAZGOS ANORMALES",TODAS LAS CITOLOGIAS TOMADAS,
