;;;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;FUENTE;FUENTE;POBLACION;POBLACION;
RPYMS380X;Cumplimiento aplicación segunda dosis de Hepatitis B;"proporcion de personas de 18 años o mas, en condicion de vulnerabilidad para Hepatitis B y sin registro de prueba de hepatitis B ""positiva"", sin 2,3 o Refuerzo en años previos, que registran esquema completo de vacunación contra hepatitis B, durante el año vigente";RPYMS;Varios;Procedimiento;Vacuna;IPS;Ambos;"1- Modulo vacunación Adultos
* Vacuna: Hepatitis B adultos 2 dosis- Fecha válida
 * PAIWEB - PAI DISTRITAL
 *  * Plantilla  EPS Adultos
 * RIPS (Dosis únicas)";"Base de datos de población Vulnerable o Indigena 
Resultado 202 - variable 79: 5 o 21";"Población denominador
Registró de Vacunación contra Hepatitis B Adulto";"Población actual al mes a evaluar activos y nuevos
poblacion Vulnerable e indigena
";
RPYMS381X;Cumplimiento aplicación tercera dosis de Hepatitis B;"proporcion de personas de 18 años o mas, en condicion de vulnerabilidad para Hepatitis B y sin registro de prueba de hepatitis B ""positiva"", sin 3 o Refuerzo en años previos, que registran esquema completo de vacunación contra hepatitis B, durante el año vigente";RPYMS;Varios;Procedimiento;Vacuna;IPS;Ambos;"1- Modulo vacunación Adultos
* Vacuna: Hepatitis B adultos 3dosis- Fecha válida
 * PAIWEB - PAI DISTRITAL
 *  * Plantilla  EPS Adultos
 * RIPS (Dosis únicas)";"Base de datos de población Vulnerable o Indigena 
Resultado 202 - variable 79: 5 o 21";"Población denominador
Registró de Vacunación contra Hepatitis B Adulto";"Población actual al mes a evaluar activos y nuevos
poblacion Vulnerable e indigena
";
RPYMS382X;Cumplimiento aplicación Refuerzo de Hepatitis B;"proporcion de personas de 18 años o mas, en condicion de vulnerabilidad para Hepatitis B y sin registro de prueba de hepatitis B ""positiva"", sin Refuerzo en años previos, que registran esquema completo de vacunación contra hepatitis B, durante el año vigente";RPYMS;Varios;Procedimiento;Vacuna;IPS;Ambos;"1- Modulo vacunación Adultos
* Vacuna: Hepatitis B adultos refuerzo- Fecha válida
 * PAIWEB - PAI DISTRITAL
 *  * Plantilla  EPS Adultos
 * RIPS (Dosis únicas)";"Base de datos de población Vulnerable o Indigena 
Resultado 202 - variable 79: 5 o 21";"Población denominador
Registró de Vacunación contra Hepatitis B Adulto";"Población actual al mes a evaluar activos y nuevos
poblacion Vulnerable e indigena
";
RPYMS109X;Proporción de niños de 6 a 23 meses con suministro de micronutrientes en polvo;Proporción de menores de 6 a 23 meses que registran suministro de micronutrientes en Polvo;RPYMS;Primera Infancia;Medicamentos;Micronutrientes;IPS;Ambos;"1- RIPS: AM: MD008978, V06DX y A&A: 60788

Fecha Dispensación: Corresponde a la fecha y  hora en la cual se dispensó o administró el medicamento al paciente
Cantidad Medicamento: Cantidad de unidades mínimas del medicamento dispensadas o administradas

2-  Medicamentos cargado por datos adicionales: MICRONUTRIENTES_POLVO";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
con suministro de micronutrientes en polvo en los ultimos 6 meses
Edad a la entrega entre 6 y 24 meses";"Total de niños y niñas de 6 a 24 meses
";
RPYMS10X;Proporción de niños entre 30 y 60 meses con suplementación con sulfato ferroso;Proporción de menores de 30 a 60 meses que registran suministro de sufaro ferroso;RPYMS;Primera Infancia;Medicamentos;Micronutrientes;IPS;Ambos;"1- RIPS: AM y los ATC B03AA07 (Sulfato ferroso) y B03AA02 (Fumarato ferroso), CUMS 19963969-01 y 19963970-01

Fecha Dispensación: Corresponde a la fecha y  hora en la cual se dispensó o administró el medicamento al paciente
Cantidad Medicamento: Cantidad de unidades mínimas del medicamento dispensadas o administradas


2- Archivo medicamentos cargado por datos adicionales: SULFATO_FERROSO";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
con suministro de sulfato ferroso en los ultimos 6 meses
Edad a la entrega entre 30 y 60 meses";"Total de población de 30 a 60 meses. 
";
RPYMS11X;Proporción de niños entre 30 y 60 meses con suministro de vitamina A ;Proporción de menores de 30 a 60 meses que registran suministro Vitamina A;RPYMS;Primera Infancia;Medicamentos;Micronutrientes;IPS;Ambos;"1- RIPS: AM, ATC A11CA01 (Retinol-Vitamina A) 19904368-03

Fecha Dispensación: Corresponde a la fecha y  hora en la cual se dispensó o administró el medicamento al paciente
Cantidad Medicamento: Cantidad de unidades mínimas del medicamento dispensadas o administradas

2- Archivo medicamentos cargado por datos adicionales: VITAMINA_A";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
con suministro de Vitamina A en los ultimos 6 meses
Edad a la entrega entre 30 y 60 meses";"Total de población de 30 a 60 meses
";
RPYMS13X;Cobertura de desparasitación antihelmíntica en niños de 1 a 5 años;Proporción de menores de 1 a 5 años que registran suministro desparasitante;RPYMS;Primera Infancia;Medicamentos;Desparasitante;IPS;Ambos;"1- RIPS: AM: Albendazol:  ATC-P02CA03 y Mebendazol: ATC-P02CA01, 

Fecha Dispensación: Corresponde a la fecha y  hora en la cual se dispensó o administró el medicamento al paciente
Cantidad Medicamento: Cantidad de unidades mínimas del medicamento dispensadas o administradas

2-  Medicamentos cargado por datos adicionales: ANTIPARASITARIO";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
con suministro de antiparasitario en los ultimos 6 meses
Edad a la entrega mayor a 1 año";"Total de población de 1 a 5 años
";
RPYMS232X;Cobertura de desparasitación antihelmíntica en niños de 6 a 14 años;Proporción de menores de 6 a 14 años que registran suministro desparasitante;RPYMS;Varios;Medicamentos;Desparasitante;IPS;Ambos;"1- RIPS: AM: Albendazol:  ATC-P02CA03 y Mebendazol: ATC-P02CA01, 

Fecha Dispensación: Corresponde a la fecha y  hora en la cual se dispensó o administró el medicamento al paciente
Cantidad Medicamento: Cantidad de unidades mínimas del medicamento dispensadas o administradas

2-  Medicamentos cargado por datos adicionales: ANTIPARASITARIO";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
1 entrega de desparasitación antihelmíntica,
en el ultimo año";"Total de población de 6 a 14 años
";
RPYMS261X;Proporción de personas con alteracion nutricional que reciben valoración por nutrición;Proporción de personas con alteraciones nutricionales por déficit o exceso (DNT/Delgadez - Obesidad) que reciben valoración por nutrición;RPYMS;Varios;Consultas;Valoracion por Nutrición;IPS;Ambos;"RIPS AC
890106 -  ATENCION [VISITA] DOMICILIARIA POR NUTRICION Y DIETETICA
890206 -  CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA
890306 - CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA
890406 - INTERCONSULTA POR NUTRICION Y DIETÉTICA";"1- Res 202. 
Peso: Variable 29: fecha valida  + variable 30: dato obtenido
Talla: Variable 31: fecha valida  + variable 32: dato obtenido 

el rango se calcula a la Fecha del peso

DNT-Delgadez u Obesidad";poblacion con DNT-Delgadez u Obesidad con valoracion por Nutrición;edad objeto a mes a evaluar que cumplan con criterios de Peso y talla valido (peso ultimos 5 años), con estado nutricional de DNT-Delgadez u Obesidad;
RPYMS334X;Proporción de niños y niñas de 6 a 59 meses con anemia nutricional;Es la proporción de personas de 6 a 59 meses con anemia nutricional;RPYMS;Primera Infancia;Riesgo;Anemia;IPS;Ambos;"1_RIPS CIE 10: 
D508, D509, D513, D518, D519, D520, D538, D539
consulta año vigente";"1- RIPS. 
* CUPS: MEDICINA 
89.0.2.01 (consulta de primera vez por medicina general)
89.0.3.01 (Consulta de control o seguimiento por medicina general)
89.0.2.63 (consulta de primera vez por especialista en medicina familiar)
89.0.3.63 (Consulta de control o seguimiento por especialista en medicina familiar).
89.0.2.83 (consulta de primera vez por especialista en pediatría)
89.0.3.83 (Consulta de control o seguimiento por especialista en pediatría)

* CUPS: ENFERMERIA
89.0.2.05 (Consulta de primera vez por enfermería)
89.0.3.05 (Consulta de control o de seguimiento por enfermería)";Poblacion de 6 a 59 meses con atencion en los servicios de salud con el diagnostico de anemia asociado;Poblacion de 6 a 59 meses con atencion en los servicios de salud;
RPYMS15X;Proporción de personas con tamizaje para riesgo cardiovascular y metabólico;Proporción de personas  de 18 años y mas con toma de paquete completo de laboratorios de tamizaje cardiovascular según esquema;RPYMS;Varios;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los CUPS

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"18 años y mas
Registro de laboratorios según rango de edad";"Variable:
Población actual al mes a evaluar activos y nuevos
(Mas de 3 meses afiliados a la aseguradora al mes evaluado)
18 años y más";
RPYMS16X;Proporción de personas con tamizaje para riesgo cardiovascular y metabólico en la juventud;Proporción de personas  de 18 a 28 años con toma de paquete completo de laboratorios de tamizaje cardiovascular según esquema;RPYMS;Juventud;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los 

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"18 a 28 años
Registro de laboratorios según rango de edad";"Variable:
Población actual al mes a evaluar activos y nuevos
(Mas de 3 meses afiliados a la aseguradora al mes evaluado)
18 a 28 años";
RPYMS115X;Cumplimiento tamizaje para riesgo cardiovascular y metabólico en la juventud durante el año vigente;Personas  de 18 a 28 años con toma de paquete completo de laboratorios de tamizaje cardiovascular en el año vigente;RPYMS;Juventud;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los 

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población del denominador
Registro de consultas según esquema
Año vigente";"Población al mes a evaluar activos y nuevos
18 a 28 años
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS17X;Proporción de personas con tamizaje para riesgo cardiovascular y metabólico en la adultez;Proporción de personas  de 29 a 59 años con toma de paquete completo de laboratorios de tamizaje cardiovascular según esquema;RPYMS;Adultez;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los 

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"29 a 59 años
Registro de laboratorios según rango de edad";"Variable:
Población actual al mes a evaluar activos y nuevos
(Mas de 3 meses afiliados a la aseguradora al mes evaluado)
29 a 59 años";
RPYMS116X;Cumplimiento tamizaje para riesgo cardiovascular y metabólico en la adultez durante el año vigente;Personas  de 29 a 59 años con toma de paquete completo de laboratorios de tamizaje cardiovascular en el año vigente;RPYMS;Adultez;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los 

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"población del denominador
Registro de consultas según esquema
Año vigente";"Población al mes a evaluar activos y nuevos
29 a 59 años 
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS18X;Proporción de personas con tamizaje para riesgo cardiovascular y metabólico en la vejez;Proporción de personas  de 60 años y mas con toma de paquete completo de laboratorios de tamizaje cardiovascular según esquema;RPYMS;Vejez;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los 

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"60 años y mas
Registro de laboratorios según rango de edad";"Variable:
Población actual al mes a evaluar activos y nuevos
(Mas de 3 meses afiliados a la aseguradora al mes evaluado)
60 años y más";
RPYMS117X;Cumplimiento tamizaje para riesgo cardiovascular y metabólico en la vejez durante el año vigente;Personas  de 60 años y mas con toma de paquete completo de laboratorios de tamizaje cardiovascular en el año vigente;RPYMS;Vejez;Laboratorios;Tamizaje cardiometabolico;IPS;Ambos;"1- RIPS, Fecha válida de los siguientes CUPS:
907106 (uroanálisis)
903841 (glucosa en suero u otro fluido diferente a orina)
903895 (creatinina en suero u otros fluidos)
903825 (creatinina en suero u otros fluidos)
903868 (triglicéridos)
903818 (colesterol total)
903815 (colesterol de alta densidad)
903816 (colesterol de baja densidad semiautomatizado)
903817 (colesterol de baja densidad LDL automatizado)
Contar el número de personas con resultados en todos los 

2- Res 202 - variables con fecha válida:
Variable 72 - Fecha LDL
Variable 105 - Fecha glicemia
Variable 106 - Fecha Creatinina
Variable 111 - Fecha HDL
Variable 118 - Fecha Triglicéridos
(no se validará resultado, dado que RIPS no se tiene la opción)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población del denominador
Registro de consultas según esquema
Año vigente";"Población al mes a evaluar activos y nuevos
60 años y mas
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS22X;Cobertura de personas con valoración de la salud bucal de acuerdo al esquema definido  en la primera infancia, infancia y adolescencia;Proporción de personas de 6 meses a 17 años que registran valoración de salud bucal según esquema definido;RPYMS;Varios;Consultas;Consulta Salud Oral;IPS;Ambos;"1- RIPS: CUPS: 890203 y 890303

2- Res 202 Variable 76: Fecha Valida";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"
Consulta de odontología 
Edad a la consulta en el mismo rango de edad
Validez 12 meses incluido el mes a evaluar";"Total de población de 6 meses a 17 años.
al mes evaluado.";
RPYMS26X;Cobertura de personas con valoración de la salud bucal de acuerdo al esquema definido  en la juventud, adultez y vejez;Proporción de personas mayores de 18 años que registran valoración de salud bucal según esquema definido;RPYMS;Varios;Consultas;Consulta Salud Oral;IPS;Ambos;"1- RIPS: CUPS: 890203 y 890303

2- Res 202 Variable 76: Fecha Valida";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"
Consulta de odontología 
Edad a la consulta en el mismo rango de edad
Validez 24 meses incluido el mes a evaluar}";Total de población de 18 años y más.;
RPYMS19X;Cobertura de control de placa bacteriana en personas de primera infancia (a partir del 1 año), infancia y adolescencia;Proporción de personas de 1 a 17 años que registran control de placa bacteriana según esquema (Últimos 6 meses);RPYMS;Varios;Procedimiento;Control de placa;IPS;Ambos;1- RIPS: CUPS 997310 y 997002;BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Realización de placa bacteriana
Edad a fecha de corte: 1 a 17 años
Edad a fecha de procedimiento: 1 a 17 años";"Total de población de 1 a 17 años
";
RPYMS20X;Cobertura de control de placa bacteriana en personas jóvenes;Proporción de personas de 18  a 28 años que registran control de placa bacteriana según esquema (últimos 12 meses);RPYMS;Juventud;Procedimiento;Control de placa;IPS;Ambos;1- RIPS: CUPS 997310 y 997002;BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Realización de placa bacteriana
Edad a fecha de corte: 18 a 28 años
Edad a fecha de procedimiento: 18 a 28 años";"Total de población de 18 a 28 años
";
RPYMS21X;Cobertura de control de placa bacteriana en personas en adultez y vejez;Proporción de personas mayores de 29 años que registran control de placa bacteriana según esquema (últimos 24 meses);RPYMS;Varios;Procedimiento;Control de placa;IPS;Ambos;1- RIPS: CUPS 997310 y 997002;BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Realización de placa bacteriana
Edad a fecha de corte: 29 años y más
Edad a fecha de procedimiento: 29 años y más";"Total de población de 29 años y más
";
RPYMS35X;Cumplimiento en el control de placa bacteriana en el año;Personas de 1 año y mas  que registran control de placa bacteriana en el año;RPYMS;Varios;Procedimiento;Control de placa;IPS;Ambos;1- RIPS: CUPS 997310 y 997002;BASE DE DATOS DE AFILIACIONES (CIERRE MES);"1 año y mas
Realización de placa bacteriana
Edad a fecha de procedimiento: 1 año y más";"Total de población de 1 año y más años activa y nueva

Dividido en 12 multiplicado por mes a evaluar";
RPYMS31X;Proporción de niños y niñas en primera infancia, infancia y adolescencia a quienes se aplica sellantes de fotocurado o autocurado;Proporción de niños de 3 a 15 años que registran aplicación de sellantes en algún momento de la vida;RPYMS;Varios;Procedimiento;Sellantes;IPS;Ambos;"1- RIPS: CUPS: 
997102 (Aplicación de sellantes de fotocurado); 
997101 (Aplicación de sellantes de autocurado) 
y 
997107 Aplicación de sellantes";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Aplicación de sellantes 
Edad al corte: 3 a 15 años
Edad al procedimiento: 3 a 15 años";"Total de población de 3 a 15 años.
";
RPYMS37X;Cumplimiento de aplicación de sellantes de fotocurado o autocurado a niños y niñas en primera infancia, infancia y adolescencia en el año;Niños, niñas y adolescentes de 3 a 15 años que registran aplicación de sellantes en el año;RPYMS;Varios;Procedimiento;Sellantes;IPS;Ambos;"1- RIPS: CUPS: 
997102 (Aplicación de sellantes de fotocurado); 
997101 (Aplicación de sellantes de autocurado) 
y 
997107 Aplicación de sellantes";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Aplicación de sellantes 
Edad al procedimiento: 3 a 15 años
Año vigente";"Total de población de 3 a 15 años. activa y nueva

Dividido en 12 y multiplicado por mes a evaluar";
RPYMS32X;Proporción de personas a quienes se realiza Detartraje Supragingival;Proporción de personas de 12 años y mas que registran realización de detartraje supragingival según esquema;RPYMS;Varios;Procedimiento;Detartraje;IPS;Ambos;1- RIPS: CUPS 997301 (Detartraje supragingival);BASE DE DATOS DE AFILIACIONES (CIERRE MES);"
Realización de detartraje
Edad corte: 12 años y mas
Edad Realización procedimiento: 12 años y mas
Y
Edad corte: 18 años y mas
Edad Realización procedimiento: 18 años y mas";"Total de población de 12 años y mas.
";
RPYMS38X;Cumplimiento de realización de Detartraje Supragingival en el año;Personas de 12 años y mas que registran realización de detartraje supragingival en el año;RPYMS;Varios;Procedimiento;Detartraje;IPS;Ambos;1- RIPS: CUPS 997301 (Detartraje supragingival);BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Realización de detartraje
Edad Realización procedimiento: 12 años y mas
Año vigente";"Total de población de 12 años y mas. activa y nueva

Dividido en 12 multiplicado por el mes a evaluar";
RPYMS335X;Proporción de personas atendidas en los servicios de salud con diagnóstico de caries dental;Es la proporción de personas con diagnostico de caries;RPYMS;Varios;Riesgo;Caries;IPS;Ambos;"1- RIPS: CUPS: 890203 y 890303 
CIE 10: K020 a K029";"1- RIPS: CUPS: 890203 y 890303
2- Res 202 Variable 76: Fecha Valida";Total poblacion con valoracion de odontologia y diagnostico de caries;Total poblacion con valoracion de odontologia;
RPYMS336X;Proporción de personas atendidas en los servicios de salud con diagnóstico de gingivitis y enfermedad periodontal;Es la proporción de personas con gingivitis y diagnostico de enfermedad periodontal;RPYMS;Varios;Riesgo;Enfermedad periodontal;IPS;Ambos;"1- RIPS: CUPS: 890203 y 890303 
CIE 10: K050 - K056";"1- RIPS: CUPS: 890203 y 890303
2- Res 202 Variable 76: Fecha Valida";Total poblacion con valoracion de odontologia  de gingivitis y enfermedad periodontal;Total poblacion con valoracion de odontologia;
RPYMS337X;Proporción de personas de 1 a 17 años atendidas en los servicios de salud con diagnóstico de fluorosis;Es la proporción de personas de 1 a 17 años con diagnostico de fluorosis;RPYMS;Varios;Riesgo;Fluorosis;IPS;Ambos;"1- RIPS: CUPS: 890203 y 890303 
CIE 10: K003";"1- RIPS: CUPS: 890203 y 890303
2- Res 202 Variable 76: Fecha Valida";Total poblacion de 1 a 17 años o mas con valoracion de odontologia con diagnóstico de fluorosis;Total poblacion de 1 a 17 años o mas con valoracion de odontologia;
RPYMS338X;Proporción de personas mayores de 18 años, con perdida dental por enfermedad bucodental prevenible;Es la proporción de personas mayores de 18 años que accedieron a consulta de odontología, a quienes se les realizó o realiza exodoncia por enfermedad bucodental prevenible a causa de diagnóstico de caries, enfermedad periodontal, enfermedad pulpar;RPYMS;Varios;Riesgo;Perdida Dental;IPS;Ambos;"1- RIPS: CUPS: 
230100 - EXODONCIA DE DIENTES PERMANENTES SOD
230101 - EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR
230102 - EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR
230200 - EXODONCIA DE DIENTES TEMPORALES SOD
230201 - EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR
230202 - EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR
231100 - EXODONCIA QUIRURGICA UNIRRADICULAR SOD
231200 - EXODONCIA QUIRURGICA MULTIRRADICULAR SOD
231300 - EXODONCIA DE DIENTE INCLUIDO SOD
231301 - EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE INTRAORAL
231302 - EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE EXTRAORAL
231400 - EXODONCIAS MULTIPLES CON ALVEOLOPLASTIA, POR CUADRANTE SOD";"1- RIPS: CUPS: 890203 y 890303 
CIE 10: K020 a K029, K050 a K056, K040 a K049";Total poblacion de 18 años o mas con valoracion de odontologia con enfermedad bucodental y con exodoncia;Total poblacion de 18 años o mas con valoracion de odontologia;
RPYMS14X;Proporción de personas con tamizaje de agudeza visual;Proporción de personas de 3 años y mas que registra tamizaje de agudeza visual vigente según esquema;RPYMS;Varios;Procedimiento;Tamizaje Agudeza Visual;IPS;Ambos;"1- RIPS: 
* CUPS con Finalidad 8 o CIE-10 Z010
950601, 890307,890207, 890201, 890202,890301, 890305, 890701
2- RES 202 Variable 62 fecha válida";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población de 3 años y mas
Registro de consultas según esquema";"Población actual al mes a evaluar activos y nuevos
3 años y mas
";
RPYMS168X;Proporción de personas tamizadas con agudeza visual anormal con valoración de optometría u oftalmología;Proporción de personas de 3 años y mas con resultado alterado de agudeza visual que registran valoración por oftalmología u optometría.;RPYMS;Varios;Consultas;Valoración optometría u Oftalmología;IPS;Ambos;"*RIPS AC:
890207 - CONSULTA DE PRIMERA VEZ POR OPTOMETRIA
890307 -  CONSULTA DE CONTROL O DE SEGUIMIENTO POR OPTOMETRIA
890276 -  CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN OFTALMOLOGIA
890376  -  CONSULTA DE CONTROL O DE SEGUIMIENTO POR ESPECIALISTA EN OFTALMOLOGIA
890476 -  INTERCONSULTA POR ESPECIALISTA EN OFTALMOLOGIA";"Res 202 - Variable 62 fecha válida
variables 27 y 28: 5,6,7,8,9";"Población de 3 años y mas
resultado anormal en tamizaje agudeza visual 
con valoración de optometría y oftalmología";"Población de 3 años y mas
resultado anormal en tamizaje agudeza visual ";
RPYMS354X;Proporción de niños y niñas menores de 8 años con ambliopía;Es la proporción de niños y niñas menores de 8 años con ambliopia;RPYMS;Varios;Riesgo;Ambliopia;IPS;Ambos;1 -RIPS CIE10: H530;RES 202 - Variable 62 fecha válida;poblacion de 0 a 8 años con ambliopia;poblacion de 0 a 8 años con valoracion de agudeza visual;
RPYMS164X;Proporción de niños de primera infancia e infancia, con riesgo otológico o auditivo identificado, con valoración por Fonoaudiología;Proporción de personas de 0 a 11 años  que registran aplicación de instrumento VALE  con resultado anormal que reciben valoración por Fonoaudiología;RPYMS;Varios;Riesgo;Valoración fonoaudiología;IPS;Ambos;"RIPS: año vigente, CUPS: 
890110 - ATENCIÓN (VISITA) DOMICILIARIA, POR FONIATRÍA Y FONOAUDIOLOGÍA
890210 - CONSULTA DE PRIMERA VEZ POR FONOAUDIOLOGÍA
890310 - CONSULTA DE CONTROL O DE SEGUIMIENTO POR FONOAUDIOLOGIA
890410 - INTERCONSULTA POR FONOAUDIOLOGÍA";"202- variable 63 : fecha de Vale 
variable 40: Resultado 4 (falla)";Niños y Niñas con alteración auditiva que fueron valorados por especialista;Total de Población de 0 a 11 años con alteración auditiva;
RPYMS94X;Proporción de mujeres con uso de un método anticonceptivo;Mujeres de 13 a 49 años con reporte de suministro de método anticonceptivo vigente al periodo;RPYMS;Varios;Medicamentos;Anticonceptivo;IPS;Femenino;"1- Res 202
  Variable 55: SEGÚN VIGENCIA
 Variable 54: 1,2,3,4,5,6,7,8,9,1013,14
2- RIPS AP - CUPS: 663910 - 663100 - 697100 - 861801

";"BASE DE DATOS DE AFILIACIONES
y cruce con COHORTE MEF
(CIERRE MES)";"Mujeres del denominador 
Registró de uso de método anticonceptivo ";"Variable:
Población al mes a evaluar activos y nuevos
Mujeres de 13 a 49 años";
