;;;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;FUENTE;FUENTE;POBLACION;POBLACION;
RPYMS197X;Proporción de niñas y niños en primera infancia clasificados en el área de motricidad gruesa con riesgo o sospecha de problemas en el desarrollo, con seguimiento por pediatría;Proporción de niños que presentan alteración en el área de motricidad gruesa de la escala abreviada del desarrollo y fueron valorados por pediatría;RPYMS;Primera Infancia;Riesgo;Seguimiento EAD;IPS;Ambos;"RIPS
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";Resolución 202- Variable 43- opción 3-4;"Población actual al mes a evaluar activos 
con valoración por pediatría y EAD alterada
0 a 5 años";"Población actual al mes a evaluar activos y nuevos
0 a 5 años";
RPYMS198X;Proporción de niñas y niños en primera infancia clasificados en el área de motricidad finoadaptativa con riesgo o sospecha de problemas en el desarrollo, con seguimiento por pediatría;Proporción de niños que presentan alteración en el área de motricidad finoadaptativa de la escala abreviada del desarrollo y fueron valorados por pediatría;RPYMS;Primera Infancia;Riesgo;Seguimiento EAD;IPS;Ambos;"RIPS
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";Resolución 202- Variable 44- opción 3-4;"Población actual al mes a evaluar activos 
con valoración por pediatría y EAD alterada
0 a 5 años";"Población actual al mes a evaluar activos y nuevos
0 a 5 años";
RPYMS199X;Proporción de niñas y niños en primera infancia clasificados en el área de audición lenguaje con riesgo o sospecha de problemas en el desarrollo, con seguimiento por pediatría.;Proporción de niños que presentan alteración en el área de audición lenguaje  de la escala abreviada del desarrollo y fueron valorados por pediatría;RPYMS;Primera Infancia;Riesgo;Seguimiento EAD;IPS;Ambos;"RIPS
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";Resolución 202- Variable 46- opción 3-4;"Población actual al mes a evaluar activos 
con valoración por pediatría y EAD alterada
0 a 5 años";"Población actual al mes a evaluar activos y nuevos
0 a 5 años";
RPYMS200X;Proporción de niñas y niños en primera infancia clasificados en el área personal - social con riesgo o sospecha de problemas en el desarrollo, con seguimiento por pediatría.;Proporción de niños que presentan alteración en el área personal - social de la escala abreviada del desarrollo y fueron valorados por pediatría;RPYMS;Primera Infancia;Riesgo;Seguimiento EAD;IPS;Ambos;"RIPS
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";Resolución 202- Variable 45- opción 3-4;"Población actual al mes a evaluar activos 
con valoración por pediatría y EAD alterada
0 a 5 años";"Población actual al mes a evaluar activos y nuevos
0 a 5 años";
RPYMS45X;Cobertura de niñas y niños con atención por medicina general o especializada en pediatría o medicina familiar de acuerdo al esquema definido para la infancia;Proporción de niños de 6 a 11 años que cumplen con el esquema definido para la valoración integral por medicina general, medicina Familiar o Pediatría;RPYMS;Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS:
* CUPS Finalidad 4 o CIE-10 Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"7 a 11 años
Registro de consultas según esquema";"Población  al mes a evaluar activos y nuevos 
7 a 11 años";
RPYMS46X;Cobertura de niñas y niños con atención en salud por profesional de enfermería de acuerdo al esquema definido para la infancia;Proporción de niños de 6 a 11 años que cumplen con el esquema definido para la valoración integral por enfermería;RPYMS;Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS: CUPS
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"8 a 12 años
Registro de consultas según esquema";"Población al mes a evaluar activos y nuevos 
8 a 12 años";
RPYMS81X;Cumplimiento en la consulta de Infancia en el año vigente;Niños de 6 a 11 años que cumplen con la realización de la consulta de valoración integral por medicina general, familiar, pediatría o enfermería en el año;RPYMS;Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
* CUPS: MEDICINA con finalidad 4 o con CIE-10 Z001 o Z002
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001 o Z002
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)

* CUPS: ENFERMERIA
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Pobalción del denominador
Registro de consultas según esquema
Año vigente";"Población al mes a evaluar activos y nuevos
6 a 11 años
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS78X;Cumplimiento en la atención en salud por profesional de medicina general, familiar o pediatria de Infancia en el año;Proporción de niños de 6 a 11 años que cumplen con la valoración integral por medicina general, medicina Familiar o Pediatría en el año;RPYMS;Infancia;Consultas;Valoración medicina;IPS;Ambos;"1- RIPS 
* CUPS: MEDICINA con finalidad 4 o con CIE-10 Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"6, 8 y 10 años
Registro de consultas según esquema
Año vigente";"Población actual al mes a evaluar activos y nuevos
6, 8 y 10 años

Dividido en 12 y multiplicado por mes a evaluar";
RPYMS85X;Cumplimiento en la atención en salud por profesional de enfermería de Infancia en el año;Proporción de niños de 6 a 11 años que cumplen con la valoración integral por enfermería en el año;RPYMS;Infancia;Consultas;Valoración enfermería;IPS;Ambos;"1- RIPS 
* CUPS: ENFERMERIA
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"7, 9 y 11 años 
Registro de consultas según esquema
Año vigente";"Población actual al mes a evaluar activos y nuevos
7, 9 y 11 años 

Dividido en 12 y multiplicado por mes a evaluar";
RPYMS47X;Cobertura de personas adolescentes, con atención por medicina general o medicina familiar de acuerdo al esquema definido;Proporción de personas de 12 a 17 años que cumplen con el esquema definido para la valoración integral por medicina general  o medicina Familiar;RPYMS;Adolescencia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
* CUPS con Finalidad 11 (anterior Finalidad 5)  o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
 
* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"13 a 17 años
Registro de consultas según esquema";"Población actual al mes a evaluar activos y nuevos
13 a 17 años";
RPYMS48X;Cobertura de personas adolescentes, con atención en salud por profesional de enfermería de acuerdo al esquema definido;Proporción de personas de 12 a 17 años que cumplen con el esquema definido para la valoración integral por enfermería;RPYMS;Adolescencia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
* CUPS con Finalidad 11 (anterior Finalidad 5)  o CIE-10: Z003
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"14 a 18años
Registro de consultas según esquema";"Población actual al mes a evaluar activos y nuevos
14 a 18 años";
