CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
997002,CONTROL DE PLACA DENTAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,K021,12,203,A,PROTECCION ESPECIFICA SALUD ORAL - PLACA BACTERIANA 1 A 17 AÑOS,RPYMS19X / RPYMS35X / RPYMS547X / RPYMS548X / RPYMS549X,"Res 2275/2023, Res 3280/2018"
997002,CONTROL DE PLACA DENTAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,K021,216,335,A,PROTECCION ESPECIFICA SALUD ORAL - PLACA BACTERIANA 18 A 28 AÑOS,RPYMS20X / RPYMS35X / RPYMS550X,"Res 2275/2023, Res 3280/2018"
997002,CONTROL DE PLACA DENTAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,K021,336,9999,A,PROTECCION ESPECIFICA SALUD ORAL - PLACA BACTERIANA 29 AÑOS Y MAS,RPYMS21X / RPYMS35X / RPYMS551X / RPYMS552X,"Res 2275/2023, Res 3280/2018"
997106,TOPICACION DE FLUOR EN BARNIZ,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,K003,12,203,A,PROTECCION ESPECIFICA SALUD ORAL - FLUOR BARNIZ 1 A 17 AÑOS,RPYMS30X / RPYMS30aX,"Res 2275/2023, Res 3280/2018"
997107,APLICACION DE SELLANTES,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z012,36,179,A,PROTECCION ESPECIFICA SALUD ORAL - SELLANTES 3 A 15 AÑOS,RPYMS31X / RPYMS37X,"Res 2275/2023, Res 3280/2018"
997301,DETARTRAJE SUPRAGINGIVAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,K051,144,9999,A,PROTECCION ESPECIFICA SALUD ORAL - DETARTRAJE 12 AÑOS Y MAS,RPYMS32X / RPYMS38X,"Res 2275/2023, Res 3280/2018"
