CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
906249,VIRUS INMUNODEFICIENCIA HUMANA VIH ANTICUERPOS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z114,132,9999,A,TAMIZAJE VIH MAYOR 11 AÑOS,RPYMS346X,"Res 2275/2023, Res 3280/2018"
906915,PRUEBA NO TREPONEMICA MANUAL SIFILIS,LABORATORIO,MATERNO PERINATAL,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z113,132,9999,A,TAMIZAJE SIFILIS MAYOR 11 AÑOS,RPYMS348X,"Res 2275/2023, Res 3280/2018"
906039,TREPONEMA PALLIDUM ANTICUERPOS PRUEBA TREPONEMICA,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z114,132,9999,A,TAMIZAJE SIFILIS PRUEBA CONFIRMATORIA,RPYMS348X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z717,132,9999,A,CONSEJERIA VIH PRE Y POS TEST,RPYMS346X,"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z717,132,9999,A,CONSEJERIA VIH CONTROL,RPYMS346X,"Res 2275/2023, Res 3280/2018"
